source_asm,reference_eng,prediction_eng
,"A little one shall become a thousand , and a small one a strong nation I the Lord will hasten it in his time .","Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes."
,"For he that will love life , and see good days , let him refrain his tongue from evil , and his lips that they speak no guile","Kiyono Prabhuru Kukku Daharmik School, where they are called, Kiyonu School Kukumi, where they are called School Kukku."
,One morning a congregation with 105 publishers made a special effort to offer a Bible study to each householder they met .,"Udaaharsa Ghanbpur, हां मं गंधली जन प्रशारके रातिप जन करा प्रशार कर्या लाग पोवा स्कलो गर्ष्टे बायो बेल आद्यों करीबल प्रश्ताना करा कर्षाता लाग बायो गर्या कार्ष्ट्रे कारा कारा का स्कलो गायो बायो बायो बायो बेल के कार्ष्ता के कार्या कारा काहा काहा हा हैं हैं हैं हैं काहों क्या का क्या काहो का काहा क्या क्या क्या क्या का का का काहो का का काहा का का काही क्या का का का ही ही हो हो हा हो हो ही ही ही हो ही ही हों हा हा ही हों हों हों हो हो हो हो हो हो क्यो क क क्यो क्रा क्रा हो हो का का का का का का का हैं का का का का का का"
,Thus Solomon made all these vessels in great abundance for the weight of the brass could not be found out .,
,the part of the body where the legs join at the top including the area around the Genitals,The jora of Karangan.
,There are still entries with functions that can only be assigned to pop ups . Continue anyway ?,What is the average temperature of a plant in the city of Phulkeshbo?
,"Then Peter took him , and began to rebuke him , saying , Be it far from thee , Lord this shall not be unto thee .","Then they will say, "" Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes."
,"In his days Edom revolted from under the hand of Judah , and made a king over themselves .","In the Rajatbara Samayat of Jammu, Idomiyasakle, Adhinata Ashbaka, Bidroha Karle, and Tengli, Nijar Karle, are sold for a sum of Rs."
,A small bomb that are cracked during celebrations .,The city of Udhampur is the capital of Uttar Pradesh.
,Is he too far removed to be interested in the expressions made to him by mere humans ?,Where are you from?
,75 Four Boys in Babylon,जारिजन एस्रायेली लागिरा की लागिया की लागिया के लिए कारिजन एस्रायेली लागिरा की लागिया के लिए कारिजन एस्रायेली लागिया का से लागिया कारी कारी जाया कारी कारी कारी कारी हैं हैं हैं ।
,Of the sons of Uzziel ; Michah :  of the sons of Michah ; Shamir .,The school of education in Ujjiyal.
,"So when you counsel others , should not the same things be true of your attitude and motive ?",Do you know what is the meaning of the word'ape '?
,"The kings of the earth stood up , and the rulers were gathered together against the Lord , and against his Christ .","Yes, this is the third day of the school ; this is the third day of the school."
,DO YOU know who these men are Jacob is talking to ?,What is the meaning of the word kabo?
,What is promised is no less than Paradise . — Luke 23 : 43 .,"In reality, it is called."
,Dhoni doesn't take cricket easily even if he is out of contract .,The city of Kolkata is also known as the cricket city.
,Several major Danish companies are also present in Gujarat in shipping and renewable energy sectors .,"The office of the Office of the Deputy Commissioner of Police, Agra, is located at the foot of the road."
,Route Layout of Four Laning of Solapur - Tuljapur - Osmanabad section,The three-day long tour of Bhopal is a part of the three-day tour of the city.
,Returns the arccosine of a number,A.S.C.O.T.O.G.P.A.
,The OCSP server returned unexpected invalid HTTP data,The city is also known as the capital of the state.
,"And the Lord spake unto Moses , saying ,",The last is called the old age.
,"One of these laws is :  ‘ You must love Jehovah your God with your whole heart , your whole mind , your whole soul and your whole strength .’","Here are the names : सक्षोलो शक्षोलो है, सक्षोलो मान, सक्षो प्रान आरु सकोल शक्षोले तोमार श्वर यहोक प्रेम कराम करा."
,"The “ sacrifice ”  was Judah herself , including her capital city .",( a ) What is the cost of the business?
,a barrier framed by sticks or with other means .,"In fact, the three-way tax is called the tax tax."
,He further added that the initiative has helped in relieving the entrepreneurs from the vicious cycle of moneylenders and middlemen .,"They also offer yoga at the public school, the university, and the university."
,Riches profit not in the day of wrath :  but righteousness delivereth from death .,"In the modern world, the word's-samppti'means'the sun'; in the modern world, it means'the sun '."
,"When Moses stays up on the mountain for a long time , the people say :  ‘ We do not know what has happened to Moses .","From the above, Namiblliam, Moshiar Palam, Loxsakleh, Gunaok, Kizhil, Tac Amina, etc."
,How do those who walk in the light respond to Jehovah’s powerful works in their behalf ?,What is the average temperature of the sun?
,The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has approved appointment of Second National Judicial Pay Commission ( SNJPC ) for Subordinate Judiciary in the country .,The first national level cricket championship was held in New Delhi.
